Name,Price,Image-link,Links
Hp i3 (4/1tb) 250 G7 15.6 With Bag,"4,800.00",https://frankotrading.com/wp-content/uploads/2022/03/250-with-bag-300x225.jpg,https://frankotrading.com/product/hp-i3-4-1tb-250-g7-15-6-with-bag/
Hp i5 15-Dy2095wm (8/256ssd) 11th Gen,"8,100.00",https://frankotrading.com/wp-content/uploads/2022/03/40b48eef-91c7-4436-889e-f773a7fb61c5.039388792b61fcd7e7056a9571366275-300x244.jpeg,https://frankotrading.com/product/hp-i5-15-dy2095-8-256ssd-11th-gen/
Hp i3 14-Dq2031tg (4/256ssd) 11th Gen,"5,590.00",https://frankotrading.com/wp-content/uploads/2022/03/2031-2-1-300x300.jpg,https://frankotrading.com/product/hp-i3-14-dq2031tg-4-256ssd-11th-gen/
Hp i3 (4/1tb) ss,"5,370.00",https://frankotrading.com/wp-content/uploads/2022/03/hp-i3-2-1-300x300.jpg,https://frankotrading.com/product/hp-i3-4-1tb-ss/
Huawei matebook D15 i5 (8gb/512gb) 11th gen 15”,"8,825.00",https://frankotrading.com/wp-content/uploads/2022/02/matebook-2-300x300.jpg,https://frankotrading.com/product/huawei-matebook-d15-8-256ssd/
Huawei matebook D15 i3 (8gb/256gb) 10th gen,"6,220.00",https://frankotrading.com/wp-content/uploads/2022/02/matebook-2-300x300.jpg,https://frankotrading.com/product/huawei-matebook-d14-8-512ssd/
Hp Victus i5-11400h (8/256ssd) Nvidea Rtx 3050 (4gb),"12,000.00",https://frankotrading.com/wp-content/uploads/2022/01/victus-6-300x300.jpg,https://frankotrading.com/product/hp-victus-i5-11400h-8-256ssd-nvidea-rtx-3050-4gb/
HP pavilion i5 x360 convertible (8/256) 15-er02250d,"10,900.00",https://frankotrading.com/wp-content/uploads/2022/01/Untitled-design-2022-01-24T113110.499-300x300.jpg,https://frankotrading.com/product/hp-pavilion-i5-x360-convertible-8-512-15-er0225-od/
Hp i3 (4/1tb) 14-Cf2187nia,"4,500.00",https://frankotrading.com/wp-content/uploads/2022/01/Untitled-design-2022-02-21T115207.622-300x300.jpg,https://frankotrading.com/product/hp-i3-4-1tb-14-cf2187nia/
HP i3 (4/256ssd) 14-Dq2055wm 11th Gen,"6,370.00",https://frankotrading.com/wp-content/uploads/2021/11/2055-3-300x300.jpg,https://frankotrading.com/product/hp-i3-4-256ssd-14-dq2055wm-11th/
Dell I5 Inspiron (12/256ssd) 3501 Touch (10th Generation),"8,100.00",https://frankotrading.com/wp-content/uploads/2021/10/3501-5-300x300.jpg,https://frankotrading.com/product/dell-i5-inspiron-12-256ssd-3501-touch-10th-generation/
Hp Celeron 15-Dw1213nia (4/500gb),"3,470.00",https://frankotrading.com/wp-content/uploads/2021/10/1213-3-300x300.jpg,https://frankotrading.com/product/hp-celeron-15-dw1213nia-4-500gb/
